company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
SUDARSHAN SYNCOTEX,C-63KASHIPURI  ,Rajasthan,Manufacturing,SUDARSHAN SYNCOTEX LIMITED,C-63KASHIPURI  ,Rajasthan,Manufacturing,1
DR P K JAIN CLINIC,"92SHIVPURI, LATOUCH ROAD  ",Uttar Pradesh,Health and social work,BHIKKI METALS,"C-14, FIRST FLOOR,ANAND VIHAR  ",Delhi,Manufacturing,0
SHREE AMBICA TUBES,122  J N MUKHERJEE ROADGHUSURI  HOWRAH   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,BALA BALAJI SRINIVASA POULTRY FOODS,"1-51-10/ANEAR WATER TANK, UNDRAJAVARAM MANDAL  ",Andhra Pradesh,Manufacturing,0
PARIO SECURITIES,"BK-313, Sector-IISalt Lake City  ",West Bengal,Real estate renting and business activities,GEETOM SALES SERVICES,"GAUR GRANDEUR AOA,GH-4 SEC-119  ",Uttar Pradesh,Real estate renting and business activities,0
DMSTEK ENGINEERING,"C-20, Laxminarayan Nagar,Opp. Laxminarayan Temple, Manjalpur,  ",Gujarat,Real estate renting and business activities,PULEX INDUSTRIAL ASSOCIATES,"93A,PHASE II,NEW INDUSTRIAL ESTATE,JAGAT PUR,  ",Orissa,Manufacturing,0
M L AGROFOODS,"H. NO. 474, N.B. RICE MILLAYAD ROAD,  ",Rajasthan,Manufacturing,PERFECT FURNITECH,"87-B, SAINIK COLONY, JAMMU.   ",Jammu and Kashmir,Manufacturing,0
ANUPAM INFRA DEVELOPERS,"29,SARDAR CLUB SCHEMERATANDA,JODHPUR  ",Rajasthan,Construction,ANUPAM INFRA DEVELOPERS PVT. LTD.,"29,SARDAR CLUB SCHEMERATANDA,JODHPUR  ",Rajasthan,Construction,1
GARG POLYFILMS,"S-2, SURAJ NAGAR,AZADPUR  ",Delhi,Manufacturing,CONFLUENCE COACHING CONSULTING,"801-B, Kalpak GulistanPerry Cross Road  ",Maharashtra,Education,0
NILACHAL UDYOG,OPP GUWAHATI NURSING HOMEGUWAHATI   ,Assam,Transport storage and communications,NILACHAL  UDYOG,OPP GUWAHATI NURSING HOMEGUWAHATI   ,Assam,Transport storage and communications,1
AUTOSMART BATTERIES,"AUTOBAT HOUSE, NR.S.T.STAND,NADIAD.   ",Gujarat,Manufacturing,AUTOSMART BATTERIES LIMITED,"AUTOBAT HOUSE, NR.S.T.STAND,NADIAD.   ",Gujarat,Manufacturing,1
JACKINTHEBOX TOYS,"B 101, Tirupati Apartments, Bhulabhai Desai RdOpp. Mahalaxmi Temple, Cumballa Hills  ",Maharashtra,Manufacturing,INTELLIGENCE INDIA COM,"FLAT NO. 202, 2ND FLOOR, SRI RAMACHANDRA RESIDENCYOPP. TO SITA RAMANJANEYA TEMPLE, KONDAPUR  ",Telangana,Real estate renting and business activities,0
SUNDARAM TRADING AND INVESTEMENT,INDUSTRY HSG S NO 49OPP KALYANI STEELS LTDMUNDHAWA  ,Maharashtra,Financial intermediation,SUNDARAM TRADING AND INVESTEMENT PVT. LTD.,INDUSTRY HSG S NO 49OPP KALYANI STEELS LTDMUNDHAWA  ,Maharashtra,Financial intermediation,1
QUICK ENERGY WINES,46 STRAND RD   ,West Bengal,Manufacturing,QUICK ENERGY WINES PVT LTD,46 STRAND RD   ,West Bengal,Manufacturing,1
PAHUJA POLYMERS,"D-96, M.I.D.C.,   ",Maharashtra,Manufacturing,GLAM TRADING,"506 A, KIRTI SHIKHAR BUILDINGDISTT. CENTER, JANAKPURI  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
TENACITY TECHNOLOGY,"The Kailas Esplanade Soc. Ltd, C - Wing,Unit No. 507, LBS Marg, Ghatkopar (West),  ",Maharashtra,Real estate renting and business activities,WHAINGANGAA HYDRO ENERGY,"FLAT NO 404,PLOT NO 1TO 4 &11 TO 14, RK GREEN PARKRESIDENCY, GOLDEN TULIP ENCLAVE, KONDAPUR  ",Telangana,Electricity gas and water supply,0
GITANJALI AD VENTURES,"HNO 2369, Range House,Gokhiware, Vasai  ",Maharashtra,Real estate renting and business activities,TARAKI MANAGEMENT,"No.14(Old No.20), 1st Floor, 6th Cross, LBS Nagar,Indiranagar, Hoysalanagar  ",Karnataka,Real estate renting and business activities,0
GAGRANA MINERALS,RZF-924 PART-2 F/FKH NO 47/3&4/1 KH.NO. 47/3 & 4/7RAJ NAGAR PART-2 MAHATAMA GANDHI MARG  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,GAGRANA  MINERALS,RZF-924 PART-2 F/FKH NO 47/3&4/1 KH.NO. 47/3 & 4/7RAJ NAGAR PART-2 MAHATAMA GANDHI MARG  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
LEVITO LIFESCIENCES,"62BSANJAY APPARTMENT,NEAR SARDAR BAUG  ",Gujarat,Manufacturing,PHREX HERBAL,"R-224, 2ND FLOOR, RIGHT SIDE FLAT J-EXTNNEAR MASJID, LAXMI NAGAR  ",Delhi,Manufacturing,0
GULSHAH MOTELS,EE 119 KRISHNA STREET BAGHKARAM BAKSHJALANDHAR CITY  ,Punjab,Hotels and restaurants,GULSHAH MOTELS PRIVATE LIMITED,EE 119 KRISHNA STREET BAGHKARAM BAKSHJALANDHAR CITY  ,Punjab,Hotels and restaurants,1
TOTAL SOLUTION SUPPORT SERVICES,581/3 IIIRD FLOORCHIRAG DELHI   ,Delhi,Real estate renting and business activities,TOTAL  SOLUTION  SUPPORT  SERVICES,581/3 IIIRD FLOORCHIRAG DELHI   ,Delhi,Real estate renting and business activities,1
AEGIS PHARMA,228/1-A CIVIL LINES SOUTHMUZAFFARNAGARMUZAFFAR NAGAR  ,Uttar Pradesh,Manufacturing,KAVERI GLOBAL,"No. 1/4, 4th Main, 1st Cross, 1st Floor,Begur Road (Behind MET College), Hongasandra  ",Karnataka,Real estate renting and business activities,0
KISANODAY AGRO PRODUCER COMPANY,AT+PO- GOUSPUR SARSAUNAPS- N.H. BANGRA  ,Bihar,Agriculture & allied,RJ PRECISIONS,"SHOP NO 1, FIRST FLOOR, VABHAV INOXVAISHALI NAGAR  ",Rajasthan,Construction,0
DIGITAL MAX CONNECT,"KH NO 136/9/2,GALI FAMOUS AS BHAIYA LANESANT NAGAR VILLAGE BURARI  ",Delhi,Real estate renting and business activities,MANCHALA FINANCE AND LEASING,"BMC SHOP NO.3,NC KELKAR ROAD,NEAR PLAZA CINEMA,DADAR.  ",Maharashtra,Financial intermediation,0
BENGAL FOUNDATION,"1, RAWDON STREET, 10TH FLOOR,SHUBHAM BUILDING, PREMISES NO. 1006.  ",West Bengal,Construction,BENGAL FOUNDATION LIMITED,"1, RAWDON STREET, 10TH FLOOR,SHUBHAM BUILDING, PREMISES NO. 1006.  ",West Bengal,Construction,1
DILIGENT DEVELOPERS,24NEHRU PALCE  ,Delhi,Real estate renting and business activities,PARAS GRANI MARMO,"MAKRANA ROAD,   ",Rajasthan,Mining and quarrying,0
VEESONS ENGINEERS,"64-C,PAMBATTI ST,THANJAVUR-613001   ",Tamil Nadu,Real estate renting and business activities,VEESONSENGINEERS,"64-C,PAMBATTI ST,THANJAVUR-613001   ",Tamil Nadu,Real estate renting and business activities,1
SAKSEA CONSTECH,"P No: 38, H No: 1-7/38, Sri LakshmiVenkat Nagar,Maqtha Mahaboobpet,Miyapur,  ",Telangana,Construction,SAKSEA  CONSTECH,"P No: 38, H No: 1-7/38, Sri LakshmiVenkat Nagar,Maqtha Mahaboobpet,Miyapur,  ",Telangana,Construction,1
PERIGON TECHNOLOGIES,"H.No.12-2-824/A, Santosh Nagar HumayunnagarAsif Nagar, Mehdipatnam  ",Telangana,Real estate renting and business activities,PERIGON TECHNOLOGIES PVT. LTD.,"H.No.12-2-824/A, Santosh Nagar HumayunnagarAsif Nagar, Mehdipatnam  ",Telangana,Real estate renting and business activities,1
A 4 MANPOWER SECURITY SERVICES,"A -79,TRANSIT CAMP,GOVIND PURI KALKAJI   ",Delhi,Real estate renting and business activities,A4MANPOWERSECURITYSERVICES,"A -79,TRANSIT CAMP,GOVIND PURI KALKAJI   ",Delhi,Real estate renting and business activities,1
FORCE 1 SECURITY AND CONSULTANCY SERVICES,"1/36A, NORTH PARADE ROAD,ST. THOMAS MOUNT,CHENNAI - 16.  ",Tamil Nadu,Other community social and personal service activities,FORCE 1 SECURITY AND CONSULTANCY SERVICES PVT LTD,"1/36A, NORTH PARADE ROAD,ST. THOMAS MOUNT,CHENNAI - 16.  ",Tamil Nadu,Other community social and personal service activities,1
NAKSHATRA 27 MEDIA,"F-173RD FLOOR, F-BLOCK  ",Delhi,Other community social and personal service activities,NAKSHATRA 27 MEDIA PVT. LTD.,"F-173RD FLOOR, F-BLOCK  ",Delhi,Other community social and personal service activities,1
MAAS LAND DEVELOPERS,"53, CENTRAL EXCISE COLONYWARDHA RD, NAGPUR - 15.   ",Maharashtra,Construction,MAAS LAND DEVELOPERS PRIVATE LIMITED,"53, CENTRAL EXCISE COLONYWARDHA RD, NAGPUR - 15.   ",Maharashtra,Construction,1
ARSHAMA MARKETING AND CONSULTANTS,EC-5C/C-202  BROOKLYNBARCELONA CO OP HSG SOCEVERSHINE CITY VASAI (EAST)  ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ARSHAMA  MARKETING  AND  CONSULTANTS,EC-5C/C-202  BROOKLYNBARCELONA CO OP HSG SOCEVERSHINE CITY VASAI (EAST)  ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
VIFLICK CONSULTING SERVICES,"H.NO: 8-3-191, 3RD FLOOR, FLAT NO. 301VENGAL RAO NAGAR, OPP. SR NAGAR BUS STOP,  ",Telangana,Real estate renting and business activities,VIFLICK CONSULTING SERVICES LIMITED,"H.NO: 8-3-191, 3RD FLOOR, FLAT NO. 301VENGAL RAO NAGAR, OPP. SR NAGAR BUS STOP,  ",Telangana,Real estate renting and business activities,1
SPARTAN INFRAPROJECTS,"PLOT NO. 107, SECTOR -8   ",Gujarat,Construction,SPARTAN INFRAPROJECTS PRIVATE LIMITED,"PLOT NO. 107, SECTOR -8   ",Gujarat,Construction,1
OY8 TECHNOLOGIES OPC,"H.N. 3-180 /68, GORANTLA GUNTUR, HIMANI2ND LINE NEAR REDDYPALEM  ",Andhra Pradesh,Hotels and restaurants,KASTURI NIRMAN,"149, COTTON STREETBURRA BAZAR  ",West Bengal,Real estate renting and business activities,0
WELL GROWN SPICES,"# 8-2-293/82/F- III/A2, PLOT NO.2, SITE-2PHASE-2, ROAD NO.5, FILM NAGAR, JUBILEE HILLS  ",Telangana,Agriculture & allied,ROOI INFOTECH,"C/O LOHADE SHAILA, C-5,NEAR SHANKARSING NAIK HIGH SCHOOL, BALAJI NAGAR,  ",Maharashtra,Real estate renting and business activities,0
MYSORE FARMERS COCONUT PRODUCER COMPANYLIMITED,"# 1043, 8TH MAIN, 3RD STAGEGOKULAM  ",Karnataka,Agriculture & allied,MYSORE FARMERS COCONUT PRODUCER COMPANYLIMITED LIMITED,"# 1043, 8TH MAIN, 3RD STAGEGOKULAM  ",Karnataka,Agriculture & allied,1
SHRI GURUDEV BUILDING PROMOTERS,"71, KUMARANANTHAPURAM,TIRUPUR  ",Tamil Nadu,Real estate renting and business activities,YIELD SECURITIES AND CREDITS,"53,FRIENDS COLONY (EAST)  ",Delhi,Financial intermediation,0
OMACS ELECTROMEC,"22, 1ST FLOOR,ASHOKA MARKET,AVENUE ROAD,  ",Karnataka,Agriculture & allied,OMACSELECTROMEC,"22, 1ST FLOOR,ASHOKA MARKET,AVENUE ROAD,  ",Karnataka,Agriculture & allied,1
SHRI SHANKHESHWARA MULTIPURPOSEINFRATECH,"95, BHANDARI STREET, GROUND FLOORROOM NO 1, NEAR GOAL DEVOL TEMPLE, GIRGAON  ",Maharashtra,Health and social work,STRUCT HOUSE INDIA,"NO.13-A, SARATHY NAGAR,II STREET EXTENSION,  ",Tamil Nadu,Construction,0
YOGESHWARI LEASING AND FINANCE,"SAYLI APARTMENTS,BHAGYASHREELAYOUT,TRIMURTI NAGAR,   ",Maharashtra,Financial intermediation,ARYA COMMOSALES,"AMARSUDHA BUILDING, 3RD FLOOR,5A/1A, LORD SINHA ROAD,  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
JUPITER INFRAENERGY,"14 A, DEVIKA TOWER 6,NEHRU PLACE,  ",Delhi,Real estate renting and business activities,JUPITER  INFRAENERGY,"14 A, DEVIKA TOWER 6,NEHRU PLACE,  ",Delhi,Real estate renting and business activities,1
SANKARANTI CHITS,"MR. SHETTAR BUILDING,HOSUR,  HUBLI.   ",Karnataka,Financial intermediation,SANKARANTI CHITS PVT. LTD.,"MR. SHETTAR BUILDING,HOSUR,  HUBLI.   ",Karnataka,Financial intermediation,1
SHIRAS CONSULTING,"No. 16/1 (Old No. 286/A), 38th Cross, 1st MainJayanagar 8th Block  ",Karnataka,Real estate renting and business activities,ST GEORGE OVERSEAS EDUCATIONAL ANDEMPLOYMENT,KMC XIV/160OLD M C ROAD   ,Kerala,Real estate renting and business activities,0
BGB FOOD PRODUCTS INDIA,"Gupteshwar Gurudwara,Prem Nagar1409,Madan Mahal  ",Madhya Pradesh,Agriculture & allied,KDU ENTERPRISES,"B-2,UDYOG SADAN NO.3,MAROL IND.AREA,M IDC OPP.SEEPZ,  ",Maharashtra,Manufacturing,0
PAMOGLOX FACILITIES,"PLOT-2284, JAYDEV VIHARNANDANKANAN ROAD, NAYAPALLI  ",Orissa,Other community social and personal service activities,SADANJANA ENTERPRISES,"Survey No: 244 & 250, F.No: G-1, B BlockHallmark Tranquil, Puppalaguda  ",Telangana,Real estate renting and business activities,0
VACHAN CHEMICAL,"H NO 35-DWALLINGTON ESTATE, DHAKOLI  ",Punjab,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,GYM NUTRITION,HOUSE NO. 294 BLOCK-CMILLENIUM APARTMENT SECTOR 18  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
DIGICRON POWER SYSTEMS,X6 FOURTH FLOORJAIRAM COMPLEXAL BLDG NEUGINAGAR  ,Goa,Manufacturing,WEEZ ALCOFFERS OPC,"PLOT NO. B-09, OFFICE NO. 605 AND 606,6TH FLOOR, ITL TOWER, NSP, PITAMPURA  ",Delhi,Manufacturing,0
HORIZON PORTS AND POWERE,HOUSE NO 22 MATEAVAILYJAYRAN NAGARDABOLIM  ,Goa,Electricity gas and water supply,HORIZON PORTS AND POWERE LIMITED,HOUSE NO 22 MATEAVAILYJAYRAN NAGARDABOLIM  ,Goa,Electricity gas and water supply,1
PIE KNOCK FAMILY,"3A/304, Awas Vikas,Hanspuram, Naubasta  ",Uttar Pradesh,Other community social and personal service activities,PIE KNOCK FAMILY PVT. LTD.,"3A/304, Awas Vikas,Hanspuram, Naubasta  ",Uttar Pradesh,Other community social and personal service activities,1
MODENSKO EXIM,117- S D C I-5Bhikaji Cama Place  ,Delhi,Real estate renting and business activities,MODENSKO EXIM LIMITED,117- S D C I-5Bhikaji Cama Place  ,Delhi,Real estate renting and business activities,1
SOUTHMALABAR KURIES INDIA,"DOOR NO. 11/178, EDAPOTHILSULTHAN BATHERY  ",Kerala,Financial intermediation,HOMEMANTRA SHELTERS,"No. 2350/29, 2nd Main Road, RPC Layout,Vijayanagar 2nd Stage,  ",Karnataka,Real estate renting and business activities,0
AL AHMED INFO TRAVELS,"G-79, ABUL FAZAL ENCLAVE-2SARITA VIHAR, KALANDI KUNJ ROAD  ",Delhi,Transport storage and communications,KHODAL BPO SERVICES,"FF-93, CITY MOLE-1, NAVJIVAN COMPKALOL, VILL: KALOL, TAL: KALOL, DIST: GANDHINAGAR,  ",Gujarat,Real estate renting and business activities,0
GROOVY INFOTECH,"HOUSE NO. 34, KISHAN COLONY,NEAR MALPURA GATE, SANGANER,  ",Rajasthan,Real estate renting and business activities,UDHAYAMBIGAI CHITS,83/1 MILLERS ROADKILPAUKCHENNAI  ,Tamil Nadu,Financial intermediation,0
ATEN INDIA SOFTWARE SOLUTIONS,ROOM NO. 9  4TH FLOORNILA  ,Kerala,Real estate renting and business activities,ATEN INDIA SOFTWARE SOLUTIONS LIMITED,ROOM NO. 9  4TH FLOORNILA  ,Kerala,Real estate renting and business activities,1
ZAFRONE MULTISERVICES,"House No. 418/A/184, KampteeNear Ekta Dwar  ",Maharashtra,Real estate renting and business activities,ZAFRONE MULTISERVICES LIMITED,"House No. 418/A/184, KampteeNear Ekta Dwar  ",Maharashtra,Real estate renting and business activities,1
M S P SPICES,"NO.1, EDWARD ROAD,4TH FLOOR,BANGALORE  ",Karnataka,Health and social work,MSPSPICES,"NO.1, EDWARD ROAD,4TH FLOOR,BANGALORE  ",Karnataka,Health and social work,1
REGA EXIM,NIL-26MALVIYA NAGAR  ,Delhi,Real estate renting and business activities,REGA EXIM PVT LTD,NIL-26MALVIYA NAGAR  ,Delhi,Real estate renting and business activities,1
HYUNSEO INDIA,"NO.6A,RAMANUJAR NAGAR,  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,HYUNSEO INDIA LIMITED,"NO.6A,RAMANUJAR NAGAR,  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
KIMOS EDUCAMP,"KH NO. 36/37, GROUND FLOORVILLAGE BAKOLI, LANDMARK PNB BANK  ",Delhi,Education,FLYEZY TRAVEL SERVICES,"FLAT NO.101,MANBHUM TOWERSNEWR FORTUNE KATRIYA HOTEL  ",Telangana,Transport storage and communications,0
SACHDEVA ONION COMPANY,58 NEW SABZI MANDIPHAGWARA ROADHOSHIARPUR  ,Punjab,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,VCP CHIT FUNDS,"9,IIND MAIN RD,C.I.T.COLONY,MYLAPORE,  ",Tamil Nadu,Financial intermediation,0
CENSICO INTERNATIONAL,F-90/22 OKHLA INDUSTRIAL AREAPHASE-I  ,Delhi,Manufacturing,CENSICO  INTERNATIONAL,F-90/22 OKHLA INDUSTRIAL AREAPHASE-I  ,Delhi,Manufacturing,1
SUMMER COOL HOME APPLIANCES,"3/101, GALI NO.-3, MAIN SEVA DHAM ROADMANDOLI EXTN., NEAR MANDOLI CHUNGI  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SUMMER COOL HOME APPLIANCES LIMITED,"3/101, GALI NO.-3, MAIN SEVA DHAM ROADMANDOLI EXTN., NEAR MANDOLI CHUNGI  ",Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
NIDHI VANIJYA,"18/1, SURYA SEN STREET   ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SHINE SUN MARKETING,"NEAR SHILA BYE-PASSOPP.ANSH BAJAJ,  ",Haryana,Real estate renting and business activities,0
GREEN PLUS CONSTRUCTION,"Plot No. 68, Yozna ShantinagarAjmer Road  ",Rajasthan,Construction,GREEN  PLUS  CONSTRUCTION,"Plot No. 68, Yozna ShantinagarAjmer Road  ",Rajasthan,Construction,1
KANDA BESAN AND SPICES,"HAJARE BLDG JAI RD, KOTWALIWARD CHANDRAPUR 442 402   ",Maharashtra,Manufacturing,KANDA BESAN AND SPICES PVT LTD,"HAJARE BLDG JAI RD, KOTWALIWARD CHANDRAPUR 442 402   ",Maharashtra,Manufacturing,1
CITIZY INFRAHEIGHTS,"A - 34,Jai Vihar, Phase - I, Nazafgarh Road,  ",Delhi,Construction,FUNDAMENTAL INVESTMENT CONSULTANCY,"101- 1ST FLOOR, PLOT-64/68, A WINGSANKALP SIDDHI TOWER, E.S PATANWALA ROAD BYCULLA E  ",Maharashtra,Financial intermediation,0
ADWA CONSTRUCTION,"B-59, OLD NOC (5-91/1254)Budh Vihar  ",Delhi,Construction,ADWACONSTRUCTION,"B-59, OLD NOC (5-91/1254)Budh Vihar  ",Delhi,Construction,1
ACHIEVER CARDS SERVICES,"Bungalow Plot No. 5, 3rd Floor,Shri Balaji Complex, Pandav Nagar  ",Delhi,Real estate renting and business activities,KAIZEN ENCLAVE,"AGARWAL HOUSE,NIVEDITA ROADPRADHAN NAGAR  ",West Bengal,Construction,0
GOING IT,"204 Sarvopari  Mall ,Opposite Uts,Bhuyangdev Char Rasta, Ghatlodia,  ",Gujarat,Real estate renting and business activities,GOING IT PVT LTD,"204 Sarvopari  Mall ,Opposite Uts,Bhuyangdev Char Rasta, Ghatlodia,  ",Gujarat,Real estate renting and business activities,1
SHIKH SHIBH CHITS,"1378/21, A-3, IST FLOOR,NAIWALI KARO BAGHNEW DELHI.  ",Delhi,Real estate renting and business activities,SHIKH SHIBH CHITS PVT. LTD.,"1378/21, A-3, IST FLOOR,NAIWALI KARO BAGHNEW DELHI.  ",Delhi,Real estate renting and business activities,1
LEGEND ENGICON,"FLAT NO-401, 4TH FLOOR, ASHOKA TOWER, PHASE-1KUNWAR BASTI, OLD PURULIA ROAD, MANGO  ",Jharkhand,Construction,LEGEND ENGICON PVT LTD,"FLAT NO-401, 4TH FLOOR, ASHOKA TOWER, PHASE-1KUNWAR BASTI, OLD PURULIA ROAD, MANGO  ",Jharkhand,Construction,1
NEW SIZE GARMENTS COMPANY,"2325, GREEN GLADE APARTMENTSVASANT KUNJ, SECTOR-B-2  ",Delhi,Manufacturing,DATAFLIPP GLOBAL TECHNOLOGY,"Plot no. 117, 4th Floor, Telecom NagarBeside More Super Market, Gachibowli  ",Telangana,Real estate renting and business activities,0
RIPPLES FOUNTAINS,"G-36, IIIRD FLOOR MAIN GREEN PARK   ",Delhi,Manufacturing,RIPPLES FOUNTAINS PVT. LTD.,"G-36, IIIRD FLOOR MAIN GREEN PARK   ",Delhi,Manufacturing,1
MISCELLANEOUS INVESTMENT CO OF BOMBAY,,Maharashtra,Extraterritorial organizations and bodies,MISCELLANEOUS INVESTMENT CO OF BOMBAY PVT LTD,,Maharashtra,Extraterritorial organizations and bodies,1
LIBARRTY INN,"No 5, AMBEDKAR SALAI, UPPALAM   ",Pondicherry,Hotels and restaurants,LIBARRTY  INN,"No 5, AMBEDKAR SALAI, UPPALAM   ",Pondicherry,Hotels and restaurants,1
MADHUMITHA TEXTILES,"104, 3RD STREETTATABAD  ",Tamil Nadu,Manufacturing,MADHUMITHA TEXTILES LIMITED,"104, 3RD STREETTATABAD  ",Tamil Nadu,Manufacturing,1
RASHMI TEXTILES,SHED NO 5 JATIA COTTON MILLSCOMPOUNDP O ANDUL MOURI  ,West Bengal,Manufacturing,BRINTONS CARPETS ASIA,"GAT NO 414/415/416, VILLAGE URAWADETALUKA MULSHI  ",Maharashtra,Manufacturing,0
NIRMAL TRADECOM,30 BENTICK STREET1ST FLOOR  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,HOMEWAY CONSTRUCTIONS,"H. NO. 174, TEPALI, TAL. KARJAT,DIST. RAIGAD  ",Maharashtra,Construction,0
TREEL MOBILITY SOLUTIONS,"Shed No.2-A, Ingale Industrial Estate,S. No. 31 /1Hissa No. 2, Ingale Colony, NDA Road, Shivane,  ",Maharashtra,Real estate renting and business activities,TREEL  MOBILITY  SOLUTIONS,"Shed No.2-A, Ingale Industrial Estate,S. No. 31 /1Hissa No. 2, Ingale Colony, NDA Road, Shivane,  ",Maharashtra,Real estate renting and business activities,1
TRAVANCORE HOLIDAYS LEISURES,MANOJ BHAVAN KALLIYOORKALLIYOOR P O  ,Kerala,Transport storage and communications,TRAVANCORE  HOLIDAYS  LEISURES,MANOJ BHAVAN KALLIYOORKALLIYOOR P O  ,Kerala,Transport storage and communications,1
KULU FISHERIES,GROUND FLOOR SHREEJI CHAMBERS60 JANMABHOOMI MARG FORT  ,Maharashtra,Manufacturing,KULU FISHERIES PVT LTD,GROUND FLOOR SHREEJI CHAMBERS60 JANMABHOOMI MARG FORT  ,Maharashtra,Manufacturing,1
TARAK HOLDINGS,"SHRIMALI SOCIETY, NAVRANGPURA,AHMEDABAD-9.   ",Gujarat,Extraterritorial organizations and bodies,VEDANG INNOVATIVE IT TRANSFORMATION,"A-301, SAMARPAN TOWER, 132 FT. RING ROAD,ANKUR, NARANPURA,  ",Gujarat,Education,0
LAXMI DOMESTIC APPLIANCES,KRISHNA COMPLEXHAMIDIA ROADBHOPAL  ,Madhya Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,COMMANDER SANITARYWARE MARKETING,CLIPWALA COMPOUNDTUNGA VILLAGE   ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
INOX INVESTMENTS SERVICES COMPANY,"311A,ASHIANA PLAZA BUDH MARG PATNA-800001P.S.-KOTWALI  ",Bihar,Financial intermediation,NEORIA IT SOLUTIONS,"G-56/13, UPPER GROUND FLOOR, SHAHEEN BAGH,ABUL FAZAL ENCLAVE-II, JAMIA NAGAR, OKHLA,  ",Delhi,Real estate renting and business activities,0
NUWAVE BUSINESS CONSULTANCY,"WZ-8, GF, BLOCK- W/Z,MEENAKSHI GARDEN,  ",Delhi,Real estate renting and business activities,NUWAVEBUSINESSCONSULTANCY,"WZ-8, GF, BLOCK- W/Z,MEENAKSHI GARDEN,  ",Delhi,Real estate renting and business activities,1
AKSHIT MELMOWARES,"PLOT NO.281,PKT-E,SECTOR-2 ,DSIDC BAWANA,  ",Delhi,Manufacturing,SATINDAR PAL RUBBER PRODUCTS,"Plot No:- A-1/311, Road No:- 3GIDC Sarigam  ",Gujarat,Manufacturing,0
PROMISING TRADELINKS,R SINGH ASSOCIATES HASTING CHAMBERS 2ND FLOORROOM NO 15 7C KIRAN SHANKAR ROY ROAD  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,PROMISING TRADELINKS PVT LTD,R SINGH ASSOCIATES HASTING CHAMBERS 2ND FLOORROOM NO 15 7C KIRAN SHANKAR ROY ROAD  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
PWS ENGINEERS,P O BOX NO 62ANAND SOJITRA ROADANAND  ,Gujarat,Manufacturing,INOV IT SOLUTIONS,"80, SHRINAGARMAIN INDORE  ",Madhya Pradesh,Real estate renting and business activities,0
